,Statement 1,Statement 2,label,llm_class
38,capital controls (currency volatility) [52],controls to repatriate cash [53],causal,causal
39,currency depreciation against US dollar [39],disadvantaged FX rate hurts net importer country [396],causal,causal
40,disadvantaged FX rate hurts net importer country [396],increase in price of commodity [214],causal,causal
41,currency depreciation against US dollar [39],increase in taxes [181],causal,causal
42,decreased local protectionism [118],looser capital controls [60],causal,causal
43,looser capital controls [60],less government protection and funding of domestic firms [119],causal,causal
44,less government protection and funding of domestic firms [119],allows for a fair playing ground for all firms [120],causal,causal
45,looser capital controls [60],reduced regulations and production quotas on commodities [122],causal,causal
46,reduced regulations and production quotas on commodities [122],decrease in price of commodity [91],causal,causal
47,looser capital controls [60],reduced risk of net exposed position and local currency deals [343],causal,causal
48,decreased local protectionism [118],decreased tariffs on foreign firms [124],causal,causal
49,decreased tariffs on foreign firms [124],increased foreign direct investment [31],causal,causal
50,increased foreign direct investment [31],strengthening economic environment [58],causal,causal
51,increased foreign direct investment [31],more startups and new businesses [126],causal,causal
52,decreased local protectionism [118],increased programs in support of international trade [127],causal,causal
53,decreased local protectionism [118],lower unemployment rates [180],causal,causal
54,decreased local protectionism [118],lagging behind in technological wave [130],causal,causal
55,decreased local protectionism [118],government trying to stimulate economy [90],causal,causal
56,decreased local protectionism [118],strengthening economic environment [58],causal,causal
57,decreased local protectionism [118],increase in price of commodity [214],causal,causal
58,decreased local protectionism [118],IT market expansion [345],causal,causal
59,decreased local protectionism [118],IT niche competitors operation offshore [348],causal,causal
60,decreased local protectionism [118],decrease in data privacy regulations [297],causal,causal
61,decreased local protectionism [118],decrease in taxes [102],causal,causal
62,decrease in corruption [59],looser capital controls [60],causal,causal
63,looser capital controls [60],increased foreign direct investment [31],causal,causal
64,increased foreign direct investment [31],strengthening economic environment [58],causal,causal
65,looser capital controls [60],easy to repatriate cash [62],causal,causal
66,decrease in corruption [59],increasing government and political stability [64],causal,causal
67,decrease in corruption [59],decrease in possibility of FCPA violation [65],causal,causal
68,decrease in corruption [59],increased government IT spending [332],causal,causal
69,decrease in corruption [59],fair allocation of government budget [68],causal,causal
70,decrease in corruption [59],fair justice system [69],causal,causal
71,decrease in corruption [59],growing respect for authority [70],causal,causal
72,decrease in corruption [59],favorable official(political figurehead) or party elected [262],causal,causal
73,decrease in corruption [59],favorable law passed [72],causal,causal
74,decrease in corruption [59],increased investor and consumer confidence [73],causal,causal
75,increased investor and consumer confidence [73],strengthening economic environment [58],causal,causal
76,decrease in corruption [59],"increase in government spending (infrastructure, education, public benefits) [75]",causal,causal
77,"increase in government spending (infrastructure, education, public benefits) [75]",improving social order [76],causal,causal
78,"increase in government spending (infrastructure, education, public benefits) [75]",increased talent in workforce [77],causal,causal
79,decrease in data privacy regulations [297],untapped market for data providers to enter [80],causal,causal
80,untapped market for data providers to enter [80],increased competition [166],causal,causal
81,untapped market for data providers to enter [80],offshore services become advantageous [82],causal,causal
82,offshore services become advantageous [82],able to analyze market and consumers better [83],causal,causal
83,decrease in data privacy regulations [297],decreased foreign direct investment [88],causal,causal
84,decrease in data privacy regulations [297],unable to stay competitive globally [89],causal,causal
85,decrease in data privacy regulations [297],government trying to stimulate economy [90],causal,causal
86,decrease in data privacy regulations [297],disruptive technologies [152],causal,causal
87,decrease in data privacy regulations [297],decreased local protectionism [118],causal,causal
88,decrease in data privacy regulations [297],market disruptors [168],causal,causal
89,decrease in price of commodity [91],reduced demand for commodity [92],causal,causal
90,decrease in price of commodity [91],regulators agreement to raise the group's production quota [93],causal,causal
91,decrease in price of commodity [91],substituting or adjacent industries prevailing [94],causal,causal
92,decrease in price of commodity [91],increased supplier competition around commodity [95],causal,causal
93,decrease in price of commodity [91],decreased cost of transportation (oil) [96],causal,causal
94,decreased cost of transportation (oil) [96],decreased cost of doing business [97],causal,causal
95,decrease in price of commodity [91],more effective and less expensive methods or techniques for getting commodity [99],causal,causal
96,decrease in price of commodity [91],currency appreciation against US dollar [22],causal,causal
97,decrease in price of commodity [91],strengthening economic environment [58],causal,causal
98,decrease in price of commodity [91],higher profits for local and multinational businesses [100],causal,causal
99,higher profits for local and multinational businesses [100],decreased cost of doing business [97],causal,causal
100,decrease in price of commodity [91],weakening economic environment [309],causal,causal
101,decrease in price of commodity [91],lower profits for local and multinational businesses [101],causal,causal
102,decrease in price of commodity [91],increase in taxes [181],causal,causal
103,decrease in price of commodity [91],improving social order [76],causal,causal
104,decrease in taxes [102],growing social tension [103],causal,causal
105,decrease in taxes [102],conservative politician elected [104],causal,causal
106,decrease in taxes [102],government trying to stimulate economy [90],causal,causal
107,decrease in taxes [102],prolonged economic decline (recession) [106],causal,causal
108,decrease in taxes [102],decreasing debt levels [107],causal,causal
109,decrease in taxes [102],decrease in consumer and investor spending [108],causal,causal
110,decrease in taxes [102],decreasing government and political stability [131],causal,causal
111,decrease in taxes [102],increased motivation for entrepreneurs [109],causal,causal
112,increased motivation for entrepreneurs [109],increased innovative culture [110],causal,causal
113,increased innovative culture [110],new competitors [2],causal,causal
114,decrease in taxes [102],increase consumer spending [112],causal,causal
115,increase consumer spending [112],strengthening economic environment [58],causal,causal
116,increase consumer spending [112],increased revenue for businesses [113],causal,causal
117,decrease in taxes [102],"decrease in government spending (infrastructure, education, public benefits) [114]",causal,causal
118,"decrease in government spending (infrastructure, education, public benefits) [114]",growing social tension [103],causal,causal
119,"decrease in government spending (infrastructure, education, public benefits) [114]",decreased talent in workforce [115],causal,causal
120,decrease in taxes [102],decreased tariffs on foreign firms [124],causal,causal
121,decreased tariffs on foreign firms [124],increased cost of doing business [220],causal,causal
122,decrease in taxes [102],disruptive technologies [152],causal,causal
123,decrease in taxes [102],market disruptors [168],causal,causal
124,decreasing government and political stability [131],unfair justice system [132],causal,causal
125,decreasing government and political stability [131],unfair allocation of government budget [133],causal,causal
126,decreasing government and political stability [131],unfavorable official(political figurehead) or party elected [134],causal,causal
127,decreasing government and political stability [131],unfavorable law passed [135],causal,causal
128,decreasing government and political stability [131],increase in corruption [136],causal,causal
129,decreasing government and political stability [131],increase in bribery [137],causal,causal
130,decreasing government and political stability [131],weakening economic environment [309],causal,causal
131,decreasing government and political stability [131],increase in taxes [181],causal,causal
132,decreasing government and political stability [131],"decrease in government spending (infrastructure, education, public benefits) [114]",causal,causal
133,"decrease in government spending (infrastructure, education, public benefits) [114]",growing social tension [103],causal,causal
134,"decrease in government spending (infrastructure, education, public benefits) [114]",decrease in taxes [102],causal,causal
135,"decrease in government spending (infrastructure, education, public benefits) [114]",decreased talent in workforce [115],causal,causal
136,"decrease in government spending (infrastructure, education, public benefits) [114]",reduction in business investment [138],causal,causal
137,reduction in business investment [138],weakening economic environment [309],causal,causal
138,"decrease in government spending (infrastructure, education, public benefits) [114]",decreased foreign direct investment [88],causal,causal
139,decreased foreign direct investment [88],weakening economic environment [309],causal,causal
140,decreasing government and political stability [131],weakening economic environment [309],causal,causal
141,decreasing government and political stability [131],growing social tension [103],causal,causal
142,decreasing government and political stability [131],currency depreciation against US dollar [39],causal,causal
143,decreasing government and political stability [131],increased local protectionism [239],causal,causal
144,disruptive technologies [152],change in consumer interest and needs [283],causal,causal
145,disruptive technologies [152],broadband Internet becoming more widely available [154],causal,causal
146,disruptive technologies [152],increase in innovative funding [155],causal,causal
147,increase in innovative funding [155],increased government IT spending [332],causal,causal
148,increase in innovative funding [155],IT industries funding local initiatives [352],causal,causal
149,disruptive technologies [152],commoditizing of specific technologies [157],causal,causal
150,disruptive technologies [152],technology products reducing in price [158],causal,causal
151,disruptive technologies [152],cost of connecting decreases [159],causal,causal
152,disruptive technologies [152],digital economies growing [160],causal,causal
153,disruptive technologies [152],decrease in data privacy regulations [297],causal,causal
154,disruptive technologies [152],decreased local protectionism [118],causal,causal
155,disruptive technologies [152],maturity of ecosystem and business partners [291],causal,causal
156,disruptive technologies [152],strengthening economic environment [58],causal,causal
157,disruptive technologies [152],increase in price of commodity [214],causal,causal
158,disruptive technologies [152],change in business strategy [161],causal,causal
159,disruptive technologies [152],increased competition [166],causal,causal
160,disruptive technologies [152],market disruptors [168],causal,causal
161,disruptive technologies [152],increases in dependability on devices [169],causal,causal
162,increases in dependability on devices [169],increases exposure to potential security threats [170],causal,causal
163,increases exposure to potential security threats [170],increase in data privacy regulations [20],causal,causal
164,disruptive technologies [152],increase in data privacy regulations [20],causal,causal
165,growing social tension [103],unfair justice system [132],causal,causal
166,growing social tension [103],"decrease in government spending (infrastructure, education, public benefits) [114]",causal,causal
167,growing social tension [103],unfavorable law passed [135],causal,causal
168,growing social tension [103],unfair allocation of government budget [133],causal,causal
169,growing social tension [103],excessive use of government forces for domestic control [326],causal,causal
170,growing social tension [103],rising unemployment rates [173],causal,causal
171,growing social tension [103],unfavorable official(political figurehead) or party elected [134],causal,causal
172,growing social tension [103],increase in corruption [136],causal,causal
173,growing social tension [103],decrease in price of commodity [91],causal,causal
174,growing social tension [103],increase in social expenditure [327],causal,causal
175,increase in social expenditure [327],increasing budget deficit [328],causal,causal
176,increasing budget deficit [328],increase in taxes [181],causal,causal
177,increasing budget deficit [328],increased interest rate [329],causal,causal
178,growing social tension [103],shrinking tax income [331],causal,causal
179,shrinking tax income [331],increasing budget deficit [328],causal,causal
180,increasing budget deficit [328],increase in taxes [181],causal,causal
181,increasing budget deficit [328],increased interest rate [329],causal,causal
182,growing social tension [103],reduced tourism [272],causal,causal
183,reduced tourism [272],increasing budget deficit [328],causal,causal
184,increasing budget deficit [328],increase in taxes [181],causal,causal
185,increasing budget deficit [328],increased interest rate [329],causal,causal
186,growing social tension [103],decreasing government and political stability [131],causal,causal
187,growing social tension [103],decreased investor and consumer confidence [198],causal,causal
188,decreased investor and consumer confidence [198],weakening economic environment [309],causal,causal
189,improving social order [76],fair justice system [69],causal,causal
190,improving social order [76],"increase in government spending (infrastructure, education, public benefits) [75]",causal,causal
191,improving social order [76],favorable law passed [72],causal,causal
192,improving social order [76],fair allocation of government budget [68],causal,causal
193,improving social order [76],decreased use of government forces for domestic control [320],causal,causal
194,improving social order [76],lower unemployment rates [180],causal,causal
195,improving social order [76],favorable official(political figurehead) or party elected [262],causal,causal
196,improving social order [76],decrease in corruption [59],causal,causal
197,improving social order [76],increase in price of commodity [214],causal,causal
198,improving social order [76],increased investor and consumer confidence [73],causal,causal
199,increased investor and consumer confidence [73],strengthening economic environment [58],causal,causal
200,improving social order [76],increasing government and political stability [64],causal,causal
201,improving social order [76],decrease in social expenditure [321],causal,causal
202,decrease in social expenditure [321],decreasing trade deficit or increasing surplus [28],causal,causal
203,decreasing trade deficit or increasing surplus [28],decrease in taxes [102],causal,causal
204,decreasing trade deficit or increasing surplus [28],decreased interest rate [322],causal,causal
205,improving social order [76],growing tax revenue [324],causal,causal
206,growing tax revenue [324],decreasing trade deficit or increasing surplus [28],causal,causal
207,decreasing trade deficit or increasing surplus [28],decrease in taxes [102],causal,causal
208,decreasing trade deficit or increasing surplus [28],decreased interest rate [322],causal,causal
209,improving social order [76],increase in tourism [371],causal,causal
210,increase in tourism [371],decreasing trade deficit or increasing surplus [28],causal,causal
211,decreasing trade deficit or increasing surplus [28],decrease in taxes [102],causal,causal
212,decreasing trade deficit or increasing surplus [28],decreased interest rate [322],causal,causal
213,increased local protectionism [239],increased capital controls [193],causal,causal
214,increased capital controls [193],promote local business [240],causal,causal
215,increased capital controls [193],protecting large declining or bankrupt industries [242],causal,causal
216,protecting large declining or bankrupt industries [242],regulations allow and support slow decline [243],causal,causal
217,increased capital controls [193],protecting infant industries [245],causal,causal
218,protecting infant industries [245],domestic firms have comparative advantage [246],causal,causal
219,increased local protectionism [239],increased tariffs on foreign firms [247],causal,causal
220,increased tariffs on foreign firms [247],decreased foreign direct investment [88],causal,causal
221,decreased foreign direct investment [88],weakening economic environment [309],causal,causal
222,decreased foreign direct investment [88],less startups and new businesses [248],causal,causal
223,increased local protectionism [239],strict environmental regulation [250],causal,causal
224,strict environmental regulation [250],restrictions to clients to expand their businesses infrastructure [252],causal,causal
225,increased local protectionism [239],higher demand for partnerships (joint ventures) [254],causal,causal
226,increased local protectionism [239],deter unfair competition [256],causal,causal
227,increased local protectionism [239],dumping by foreign firms at prices below cost [257],causal,causal
228,increased local protectionism [239],promote exports [258],causal,causal
229,increased local protectionism [239],over reliance on international trade [259],causal,causal
230,increased local protectionism [239],rising unemployment rates [173],causal,causal
231,increased local protectionism [239],self sufficiency to protect from being too exposed (global recession) [261],causal,causal
232,increased local protectionism [239],weakening economic environment [309],causal,causal
233,increased local protectionism [239],decrease in price of commodity [91],causal,causal
234,increased local protectionism [239],restriction to operate with resources from foreign countries [366],causal,causal
235,increased local protectionism [239],request positive balance of trade [368],causal,causal
236,increased local protectionism [239],increase in data privacy regulations [20],causal,causal
237,increased local protectionism [239],increase in taxes [181],causal,causal
238,increase in corruption [136],decreasing government and political stability [131],causal,causal
239,increase in corruption [136],increase in possibility of FCPA violation [189],causal,causal
240,increase in corruption [136],increased capital controls [193],causal,causal
241,increase in corruption [136],increase in bribery [137],causal,causal
242,increase in corruption [136],growing social tension [103],causal,causal
243,increase in corruption [136],unfair allocation of government budget [133],causal,causal
244,increase in corruption [136],drastic increase in taxes [194],causal,causal
245,increase in corruption [136],radical political party or official elected [195],causal,causal
246,increase in corruption [136],increasing debt levels [47],causal,causal
247,increase in corruption [136],lack of respect for authority [196],causal,causal
248,increase in corruption [136],uneven distribution of wealth [197],causal,causal
249,increase in corruption [136],decreased investor and consumer confidence [198],causal,causal
250,decreased investor and consumer confidence [198],weakening economic environment [309],causal,causal
251,increase in corruption [136],increased capital controls [193],causal,causal
252,increased capital controls [193],controls to repatriate cash [53],causal,causal
253,increased capital controls [193],decreased foreign direct investment [88],causal,causal
254,decreased foreign direct investment [88],weakening economic environment [309],causal,causal
255,increase in corruption [136],"decrease in government spending (infrastructure, education, public benefits) [114]",causal,causal
256,"decrease in government spending (infrastructure, education, public benefits) [114]",growing social tension [103],causal,causal
257,"decrease in government spending (infrastructure, education, public benefits) [114]",decreased talent in workforce [115],causal,causal
258,increase in data privacy regulations [20],increase cost of burden on multinational data providers [200],causal,causal
259,increase cost of burden on multinational data providers [200],clients and potential clients need help to comply with privacy [201],causal,causal
260,increase in data privacy regulations [20],increase ability for smaller domestic providers to become competitive [205],causal,causal
261,increase in data privacy regulations [20],market disruptors [168],causal,causal
262,increase in data privacy regulations [20],foreign data providers dominate market [208],causal,causal
263,increase in data privacy regulations [20],lack of consumer confidence in data providers [209],causal,causal
264,increase in data privacy regulations [20],increased cyber attacks [210],causal,causal
265,increase in data privacy regulations [20],increased threat of terrorism [211],causal,causal
266,increase in data privacy regulations [20],increase in personal identify theft attacks [212],causal,causal
267,increase in data privacy regulations [20],unfavorable uses of data by providers and businesses [213],causal,causal
268,increase in data privacy regulations [20],disruptive technologies [152],causal,causal
269,increase in data privacy regulations [20],increased local protectionism [239],causal,causal
270,increase in price of commodity [214],increased demand for commodity [215],causal,causal
271,increase in price of commodity [214],regulators agreement to reduce the production quota [216],causal,causal
272,increase in price of commodity [214],natural disaster reduces availability of commodity [217],causal,non_causal
273,increase in price of commodity [214],currency depreciation against US dollar [39],causal,causal
274,increase in price of commodity [214],increased cost of transportation (oil) [219],causal,causal
275,increased cost of transportation (oil) [219],increased cost of doing business [220],causal,causal
276,increase in price of commodity [214],potential innovation for substitute or less expensive product [222],causal,causal
277,increase in price of commodity [214],less profits for businesses [223],causal,causal
278,increase in price of commodity [214],weakening economic environment [309],causal,causal
279,increase in price of commodity [214],more profits for businesses [224],causal,causal
280,increase in price of commodity [214],strengthening economic environment [58],causal,causal
281,increase in price of commodity [214],decrease in taxes [102],causal,causal
282,increase in price of commodity [214],growing social tension [103],causal,causal
283,increase in taxes [181],prolonged economic growth (boom) [225],causal,causal
284,increase in taxes [181],country in state of war [226],causal,causal
285,increase in taxes [181],liberal politician or party elected [227],causal,causal
286,increase in taxes [181],call for new social programs [228],causal,causal
287,increase in taxes [181],increasing debt levels [47],causal,causal
288,increase in taxes [181],improving social order [76],causal,causal
289,increase in taxes [181],discouraged consumer and business behavior [229],causal,causal
290,discouraged consumer and business behavior [229],reduced income [230],causal,causal
291,reduced income [230],increase in unemployment [403],causal,causal
292,increase in unemployment [403],weakening economic environment [309],causal,causal
293,increase in taxes [181],increased motivation for businesses to outsource work [236],causal,causal
294,increased motivation for businesses to outsource work [236],higher unemployment rates for domestic unskilled workers [237],causal,causal
295,higher unemployment rates for domestic unskilled workers [237],weakening economic environment [309],causal,causal
296,increase in taxes [181],"increase in government spending (infrastructure, education, public benefits) [75]",causal,causal
297,"increase in government spending (infrastructure, education, public benefits) [75]",improving social order [76],causal,causal
298,"increase in government spending (infrastructure, education, public benefits) [75]",increased talent in workforce [77],causal,causal
299,increase in taxes [181],reduced tax incentives [404],causal,causal
300,reduced tax incentives [404],decrease in innovative culture [405],causal,causal
301,increase in taxes [181],increased tariffs on foreign firms [247],causal,causal
302,increase in taxes [181],disruptive technologies [152],causal,causal
303,increase in taxes [181],market disruptors [168],causal,causal
304,increasing government and political stability [64],fair justice system [69],causal,causal
305,increasing government and political stability [64],fair allocation of government budget [68],causal,causal
306,increasing government and political stability [64],favorable official(political figurehead) or party elected [262],causal,causal
307,increasing government and political stability [64],decrease in corruption [59],causal,causal
308,increasing government and political stability [64],favorable law passed [72],causal,causal
309,increasing government and political stability [64],decrease in taxes [102],causal,causal
310,increasing government and political stability [64],"increase in government spending (infrastructure, education, public benefits) [75]",causal,causal
311,"increase in government spending (infrastructure, education, public benefits) [75]",improving social order [76],causal,causal
312,"increase in government spending (infrastructure, education, public benefits) [75]",increase in taxes [181],causal,causal
313,"increase in government spending (infrastructure, education, public benefits) [75]",increased talent in workforce [77],causal,causal
314,"increase in government spending (infrastructure, education, public benefits) [75]",promote local business and foreign investment [263],causal,causal
315,promote local business and foreign investment [263],strengthening economic environment [58],causal,causal
316,increasing government and political stability [64],increase in tourism [371],causal,causal
317,increase in tourism [371],demand for more IT infrastructure [372],causal,causal
318,increasing government and political stability [64],strengthening economic environment [58],causal,causal
319,increasing government and political stability [64],improving social order [76],causal,causal
320,increasing government and political stability [64],currency appreciation against US dollar [22],causal,causal
321,increasing government and political stability [64],decreased local protectionism [118],causal,causal
322,market disruptors [168],change in consumer interest and needs [283],causal,causal
323,market disruptors [168],decrease in data privacy regulations [297],causal,causal
324,market disruptors [168],decreased local protectionism [118],causal,causal
325,market disruptors [168],disruptive technologies [152],causal,causal
326,market disruptors [168],increased ability to facilitate peer to peer transactions [285],causal,causal
327,market disruptors [168],maturity of ecosystem and business partners [291],causal,causal
328,market disruptors [168],strengthening economic environment [58],causal,causal
329,market disruptors [168],increase in price of commodity [214],causal,causal
330,market disruptors [168],increased competition [166],causal,causal
331,market disruptors [168],change in business strategy [161],causal,causal
332,market disruptors [168],increase in data privacy regulations [20],causal,causal
333,maturity of ecosystem and business partners [291],rapid technological change [292],causal,causal
334,rapid technological change [292],disruptive technologies [152],causal,causal
335,rapid technological change [292],"XaaS and digital platforms shorten distribution chain, connecting end users with main service and IT provider directly [378]",causal,causal
336,maturity of ecosystem and business partners [291],change in business strategy to meet a changing demand [296],causal,causal
337,maturity of ecosystem and business partners [291],disruptive technologies [152],causal,causal
338,maturity of ecosystem and business partners [291],decrease in data privacy regulations [297],causal,causal
339,maturity of ecosystem and business partners [291],increase in infrastructure in 3rd world countries [298],causal,causal
340,maturity of ecosystem and business partners [291],increase in innovative funding [155],causal,causal
341,increase in innovative funding [155],increased government IT spending [332],causal,causal
342,maturity of ecosystem and business partners [291],increasing number of IT players [299],causal,causal
343,maturity of ecosystem and business partners [291],increasing number of multinational players [300],causal,causal
344,maturity of ecosystem and business partners [291],increasing size of IT market [301],causal,causal
345,maturity of ecosystem and business partners [291],market disruptors [168],causal,causal
346,maturity of ecosystem and business partners [291],"government open to foreign IT support, regulations in place [379]",causal,causal
347,maturity of ecosystem and business partners [291],disruptive technologies [152],causal,causal
348,maturity of ecosystem and business partners [291],market disruptors [168],causal,causal
349,natural disasters [305],business or supplier disruption [306],causal,causal
350,business or supplier disruption [306],weakening economic environment [309],causal,causal
351,natural disasters [305],employee safety [311],causal,causal
352,employee safety [311],decreased business productivity [270],causal,causal
353,natural disasters [305],client disruption [313],causal,causal
354,client disruption [313],temporarily loss of business [314],causal,causal
355,natural disasters [305],increased irregular geological data [315],causal,causal
356,natural disasters [305],increased irregular weather data (patterns) [316],causal,causal
357,natural disasters [305],increase in movement of tectonic plates [317],causal,causal
358,natural disasters [305],increased irregular tide and current and wave data (patterns) [318],causal,causal
359,natural disasters [305],high geographic disaster exposure [319],causal,causal
360,strengthening economic environment [58],increased business investment and opportunity [179],causal,causal
361,increased business investment and opportunity [179],lower unemployment rates [180],causal,causal
362,lower unemployment rates [180],improving social order [76],causal,causal
363,increased business investment and opportunity [179],increased foreign talent immigration [360],causal,causal
364,strengthening economic environment [58],higher aggregate demand [182],causal,causal
365,strengthening economic environment [58],increased government spending [183],causal,causal
366,strengthening economic environment [58],lower unemployment rates [180],causal,causal
367,strengthening economic environment [58],increased foreign direct investment [31],causal,causal
368,strengthening economic environment [58],increase in tourism [371],causal,causal
369,strengthening economic environment [58],higher aggregate supply [184],causal,causal
370,strengthening economic environment [58],decreasing trade deficit or surplus [185],causal,causal
371,strengthening economic environment [58],increase consumer spending [112],causal,causal
372,strengthening economic environment [58],increase in investment by businesses [187],causal,causal
373,strengthening economic environment [58],currency appreciation against US dollar [22],causal,causal
374,strengthening economic environment [58],increase in price of commodity [214],causal,causal
375,strengthening economic environment [58],"increase in government spending (infrastructure, education, public benefits) [75]",causal,causal
376,"increase in government spending (infrastructure, education, public benefits) [75]",improving social order [76],causal,causal
377,"increase in government spending (infrastructure, education, public benefits) [75]",increased talent in workforce [77],causal,causal
378,"increase in government spending (infrastructure, education, public benefits) [75]",increase in taxes [181],causal,causal
379,strengthening economic environment [58],IT market expansion [345],causal,causal
380,strengthening economic environment [58],currency appreciation against US dollar [22],causal,causal
381,weakening economic environment [309],lack of business investment and opportunities [172],causal,causal
382,lack of business investment and opportunities [172],rising unemployment rates [173],causal,causal
383,rising unemployment rates [173],growing social tension [103],causal,causal
384,lack of business investment and opportunities [172],talent migrate to other countries [353],causal,causal
385,weakening economic environment [309],decrease in taxes [102],causal,causal
386,weakening economic environment [309],lower domestic demand [50],causal,causal
387,weakening economic environment [309],decreased government spending [174],causal,causal
388,weakening economic environment [309],rising unemployment rates [173],causal,causal
389,weakening economic environment [309],decreased foreign direct investment [88],causal,causal
390,weakening economic environment [309],decreased tourism [175],causal,causal
391,weakening economic environment [309],lower aggregate supply [176],causal,causal
392,weakening economic environment [309],decrease in consumer and investor spending [108],causal,causal
393,weakening economic environment [309],decreased investment by businesses [178],causal,causal
394,weakening economic environment [309],currency depreciation against US dollar [39],causal,causal
395,weakening economic environment [309],decrease in price of commodity [91],causal,causal
396,weakening economic environment [309],"decrease in government spending (infrastructure, education, public benefits) [114]",causal,causal
397,"decrease in government spending (infrastructure, education, public benefits) [114]",growing social tension [103],causal,causal
398,"decrease in government spending (infrastructure, education, public benefits) [114]",decreased talent in workforce [115],causal,causal
399,weakening economic environment [309],IT market deceleration or downsize [354],causal,causal
400,IT market deceleration or downsize [354],clients willing to adopt new platforms at better rates [358],causal,causal
401,weakening economic environment [309],currency depreciation against US dollar [39],causal,causal
402,increasing trade deficit [45],lower domestic demand [50],non_causal,causal
403,increase in data privacy regulations [20],client disruption [313],non_causal,causal
404,exchange outlook is positive [29],potential innovation for substitute or less expensive product [222],non_causal,causal
405,cost of connecting decreases [159],uneven distribution of wealth [197],non_causal,causal
406,increased revenue for businesses [113],country in state of war [226],non_causal,causal
407,higher aggregate supply [184],increase in corruption [136],non_causal,causal
408,increasing size of IT market [301],disadvantaged FX rate hurts net exporter country [36],non_causal,causal
409,temporarily loss of business [314],untapped market for data providers to enter [80],non_causal,causal
410,IT industries funding local initiatives [352],increased competition [166],non_causal,causal
411,higher unemployment rates for domestic unskilled workers [237],"XaaS and digital platforms shorten distribution chain, connecting end users with main service and IT provider directly [378]",non_causal,causal
412,temporarily loss of business [314],radical political party or official elected [195],non_causal,causal
413,lower demand for USD [25],increase in investment by businesses [187],non_causal,causal
414,broadband Internet becoming more widely available [154],currency depreciation against US dollar [39],non_causal,causal
415,increase in personal identify theft attacks [212],higher international reserves [384],non_causal,causal
416,promote exports [258],increase in corruption [136],non_causal,causal
417,low inflation [27],increases in dependability on devices [169],non_causal,causal
418,controls to repatriate cash [53],increase ability for smaller domestic providers to become competitive [205],non_causal,causal
419,promote exports [258],lack of respect for authority [196],non_causal,causal
420,increase in personal identify theft attacks [212],changing market driving the needs for new business model [15],non_causal,causal
421,allows for a fair playing ground for all firms [120],increase in possibility of FCPA violation [189],non_causal,causal
422,demand for more IT infrastructure [372],increase consumer spending [112],non_causal,causal
423,increasing size of IT market [301],decrease in corruption [59],non_causal,causal
424,decreased tariffs on foreign firms [124],currency depreciation against US dollar [39],non_causal,causal
425,increasing size of IT market [301],maturity of ecosystem and business partners [291],non_causal,causal
